K00058	571.233	934.757	618.33	987.756	405.848	679.877	1698.38	615.922	1312.31	201.833	893.824	517.403	1141.74	923.346	428.415	774.901	323.885	1660.71	187.879	836.069	776.058	555.325	495.863	327.894	355.315	1010.92	528.036	324.227	592.11	833.368	662.039	449.276	669.999	747.326	666.708	820.033	2526	1188.75	988.944
K00059	26.0915	0	0	50.6373	16.6204	0	84.8072	19.2585	0	3.80846	0	272.39	21.176	673.07	0	58.2353	69.4444	55.8977	0	0	192.585	228.098	84.5636	78.2308	14.9548	0	400.355	88.9153	0	10.5157	33.0069	0	15.4267	0	26.9356	50.4356	0	259.578	0
K00060	43.378	88.6296	36.7214	35.2228	4.54333	38.2781	26.0249	3.66581	13.8822	22.3094	12.0739	5.35059	164.79	22.3151	11.3425	0	0	0	120.806	0	0	0	0	0	0	18.3032	0	220.242	82.4805	3.91262	47.5904	2.76873	49.7138	5.28026	0	22.5875	11.4604	26.8228	0
K00062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.2573	0	0	0	0	0	0	15.5128	30.0213	0	0	0	10.8181	0	0	0	0	0	10.4752	0	0	0	0
K00063	0	0	0	0	29.3975	0	0	0	0	0	0	0	0	0	0	2.62551	56.5388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3489	0	0	20.9504	0	0	0	0
K00064	0	0	0	0	0	0	0	0	2.88323	0	0	0	39.6627	0	0	0	0	0	0	0	0	0	1.69864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K00065	0	0	0	0	61.3882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.3517	0	0	0	0
K00067	276.038	226.987	108.927	435.859	158.042	212.084	303.364	272.846	323.407	192.58	333.429	718.068	435.795	377.532	138.902	82.0269	307.925	368.537	349.884	828.53	488.073	1362.33	71.5627	144.967	0	381.575	819.368	264.424	288.965	195.245	214.29	137.15	358.553	110.704	394.519	171.831	171.179	716.745	369.018
K00073	0	27.6092	16.7598	53.6031	8.62333	71.7366	0	64.0291	29.9126	45.101	22.0418	204.185	22.793	20.6553	102.79	0	0	41.43	15.1486	0	12.3708	0	0	0	0	85.7251	140.056	97.811	134.109	51.1273	19.7705	0	26.0652	197.626	73.6344	14.7761	0	14.2582	0
K00074	69.5707	115.82	97.9661	233.522	156.904	304.278	108.324	111.67	308.356	55.4507	459.258	242.243	206.415	714.741	417.843	80.6461	0	702.627	246.959	84.5141	68.9962	179.691	0.934109	0	0	90.1096	0	152.954	1059.57	115.146	421.092	6.96264	202.09	264.942	178.299	193.886	89.3153	57.8425	132.161
